,jobTitle,jobdescription,joblocation_address
15,Soarian Clinicals Consultant (Cerner),Point of Sale System Help Desk Manager opportunity Looking for a Help Desk Manager to oversee team supporting POS systems as well as Windows environment. Requirements: Solid experience managing or supervising a help desk team Extensive POS Systems experie,"Ontario, CA"
16,Java Developer,"Trigyn's direct financial client has an immediate opening for Java Developer in Montreal, Canada.Skills Required: Java Unix XML SQLSkills Desired: Previous finance experience Spring Soap MQ or alternativesDB2 or Sybase exposure Perl/Bash/Ksh scripting Jir","Montreal, QC"
17,SQL Web Application Developer,"SQL Web Application Developer The Database Developer is primarily focused on the design and evolution of our data schema, streamlining data operations, tuning the database for peak performance, and developing and maintaining database scripts. The position","Emeryville, CA"
18,Mobile Device QA Tester II,"Denali Advanced Integration is one of the nation’s leading technology integrators by volume and capacity with experience in Data Center, Unified Communication’s, Mobility and Virtualization and Testing. Denali has more than 400 dedicated employees focused","Bellevue, WA"
19,Processor (Screen) - 3rd Shift 1,"TAD PGS, INC. is currently seeking an Processor (Screen) - 3rd Shift for one of our clients in Tempe, AZ.Company Description: Go Beyond. It’s more than a phrase. It’s the way our client lives and the way they work, the way they are seen by our customers a","Tempe, AZ"
20,Sr. Application Programmer,Senior Developer resource to fill position as on-site development role for a global application for sanctions and AML screening. This resource will have 7-10 years development and deployment experience in a hands-on role in addition to expert knowledge of,"Tampa, FL"
21,Full Stack Developer,No remote work permitted-must be onsite. START UP environment!! Full-Stack Developer:   The Full-Stack Developer demonstrates a broad and comprehensive knowledge of our product development from a technical perspective and has broad knowledge across the Re,"New York, NY"
22,Technology Manager of Analytics,"Our client is seeking a Technology Manager of Analytics.   Location: Jersey City, NJ Position Type: Full Time   Job Spec:  - Th is is a senior, full-time role. - Ad vertising solutions and statistics, this role is on the technical side. - Familiarity with","Jersey City, NJ"
23,Exhaust Processor (Exhaust) 3rd Shift,"TAD PGS, INC. is currently seeking an Exhaust Processor (Exhaust) 3rd Shift for one of our clients in Tempe, AZ. **Candidate must have the ability to obtain and maintain a Confidential Security Clearance** Company Description: Go Beyond. It’s more than a ","Tempe, AZ"
24,Security - InfoSec Assessment,"Security - InfoSec AssessmentOur client is seeking a highly motivated, passionate, and seasoned hands-on leader to scale the security testing and assessments team. The objective of this role is to ensure they have comprehensive end-to-end independent and ","San Francisco, CA"
25,Sr. Systems Engineer - Storage (Contract-to-Hire),"Job Req #: 16-10313Job Description:  Sr. Systems Engineer - StorageLocation:  Vernon Hills, ILPosition Type:  Contract-to-hireKey Responsibilities: Recommends, designs, implements, and optimizes Storage and backup infrastructure Applies expert knowledge a","Vernon Hills, IL"
26,"SAP Technical Lead (ERP, ECC, HANA) in Melville, NY or Davidson, NC","SAP Technical Lead (ERP, ECC, HANA) in Melville, NY or Davidson, NCPosition: SAP Technical Lead (ERP, ECC, HANA)Duration: Full-Time Permanent position (no contract, no corp to corp, no remote)Location: Melville, NY or Davidson, NCSalary: Excellent compens","Melville, NY"
27,Auditor Analyst,"For More Info Please call 732-549-6800 Ext: 322Title: Sr. Analyst (Audit)Location: South Brunswick, NJ 08852.Duration: 03 Months Job Description: The Sr. Analyst Contingent Worker will fully support and execute a variety of audit and internal control/comp","South Brunswick, NJ"
28,Sr. Java Developer,"Trigyn's direct financial client has an immediate opening for Sr. Java Developer in Montreal, Canada.Description:This role requires both strong technical ability in a variety of Java development environments and significant proficiency with Java 8 for web","Montreal, QC"
29,MySQL Database Architect/Administrator,Exciting opportunity for an experienced medium to large scale production environment focused MySQL DBA to join one of the Silicon Valley's fastest growing companies development the next generation payments platform. The devices and platform form the backb,"Sunnyvale, CA"
30,Test Lead,"Our client, a major US commercial broadcasting network, is seeking a Test Lead.   Location: New York, NY Position Type: Full Time   Job Description : - The Test Lead will be responsible for leading teams to deliver project(s) that span across one or more ","New York, NY"
31,Software Engineer-Graphics Interface Development,"TAD PGS Inc. is currently seeking a Software Engineer-Graphics Interface Development for one of our clients in Poway, CA.Job Description: Software Engineer specifically for Graphics Interfaces that will join our Software Engineering group. This team creat","Poway, CA"
32,Microstrategy Developer,"Our client, one of the largest financial services firms, is seeking a Microstrategy Developer. Location:  New York, NY Position Type: Contract Key Responsibilities: -Interaction with business and team lead to understand the business requirements -Produce ","New York, NY"
33,Business Analyst - Business Analyst healthcare,Job Description: Experience in quality/risk adjustment.. 8+ years experience in requirements gathering/documentation and testing required. Experience in healthcare payer organizations highly desirable.Required Skills: BUSINESS ANALYST. Don't hesitate! Sub,"Long Beach, CA"
34,Directory Services Engineer/ Active Directory SME,"Our client is seeking a Directory Services Engineer/ Active Directory SME.   Location : New York, NY Position Type: Full Time   Job Description : - La rge Hedge fund is looking for a Directory Services Engineer / Active Directory SME.  - The position will","New York, NY"
35,Senior Mainframe Test Analyst,"Staff Tech is looking to provide our client located in West Sacramento, CA with a qualified senior Mainframe Test Analyst that will be able to: * Ensure that enterprise testing strategies and relevant quality assurance technologies are represented in clie","West Sacramento, CA"
36,Technical Business Analyst (Microsoft Exp.),"As a Technical BA, the consultant will be responsible for :Coordination role between business users, technical users and IT vendors on itsimplementationPerform business requirements analysisPrepare business and technical specificationsConduct research to ","Manhattan, NY"
37,DevOps,We are looking for a DevOps Engineer for a leading provider of operational intelligence software company in San Francisco.Job Requirements:- 5+ years of experience in Linux administration in a cloud focused environment (public and private)- Candidates sho,"San Francisco, CA"
38,Linux Administrator (Scripting Must),"Our direct client, a major financial services company, is seeking an Linux Administrator for a contract position in Montreal.Description:The consultant will be responsible for building and maintaining various tooling for monitoring and automation framewor","Montreal, QC"
39,BizTalk Developer,"Job Description Job Title:   Lead Data Integration Engineer Position Description:   The Lead Data Integration Engineer (LDIE) responsibilities focus on introducing standardized operational excellence to Data Integration offerings across several platforms,","Blue Bell, PA"
40,"Developer - AngularJS, Spring or Struts, RESTful","Job Description: Full-stack Java developer needed to work on enhancements and fixes to mission-critical application at large enterprise client. AngularJS is absolute must-have. Looking for a developer with a broad range of experience, including JEE, Sprin","Glendale, CA"
41,Technical Project Manager,- 3+ years of experience as a PM- Must have some technical background (software/hardware)- No specific certifications needed- Needs to have some operational/support background of some kind. Perhaps they managed a team that was releasing a product to produ,"Philadelphia, PA"
42,JavaScript Web Programmer Analyst,"Banking client in Getzville, NY is looking for JavaScript Web Programmer Analyst for a long term contract. Description Business/Department Overview The Graphic Communications Department is a full-service support that is a fast-paced, customer-oriented pro","Getzville, NY"
43,JDA Developer,"JDA Developer Location:   Parsippany, NJ Full Time Technical Knowledge/Skills * Proven ability to develop applications in multiple programming environments is required. * Expert knowledge of security requirements, web services, service-oriented architectu","Parsippany, NJ"
44,Developer - PHP LAMP MVC MSQL OOD,"Job Description: 3+ years working with PHP 5.3+ on a Linux environment such as RedHat, Centos, or Fedora. 3+ years writing code within an MVC framework, preferably Zend Framework. 5+ years working with relational databases (preferably PostgreSQL), writing","San Diego, CA"
45,"Systems Analyst - Healthcare Claims, ERISA, COBRA, HIPAA. SQL, SDLC","Job Description: Our Burbank Client is looking for a passionate Business Analyst - Healthcare Claims to turn data into information, information into insights and insights into business decisions.The Business Analyst Healthcare Claims will partner with sta","Burbank, CA"
46,Micro-services Developer,"Our client is seeking a Micro-services Developer .   Location: Long Island City, NY Position Type: Contract   -In this role you will develop and launch new mobile products and extend platform functionality as part of our next generation strategy. -You wil","Long Island City, NY"
47,Electrical Project Engineer,"TAD PGS INC. is currently seeking an Electrical Project Engineer for one of our clients in Frederick, MD.up to 100K + BonusLocal Candidates ONLYJob Overview: Develop technical solutions in conjunction with the customer to promote the company product line,","Frederick, MD"
48,Sr Software Staff UI Engineer,"SENIOR SOFTWARE / STAFF UI ENGINEER – HEAT CLOUDAre you looking for a challenge and the opportunity to be part of building a new enterprise cloud application in the End Point, Service, IT Management space from the ground up? HEAT Software builds the world","Milpitas, CA"
49,Middleware Developer,"MQ Middleware Support Consultant with one of our premier financial clients in Raleigh, NC. Responsibilities:   "" Participate as an active member of the worldwide Middleware support team and take position in off-hours support / The support team monitors an","Raleigh, NC"
50,Senior Developer/Tech Lead,Senior Developer resource to fill position as on-site development role for a global application for sanctions and AML screening. This resource will have 7-10 years development and deployment experience in a hands-on role in addition to expert knowledge of,"Tampa, FL"
51,Oracle Functional Consultant,"Banking client in Tampa, FL is looking for Oracle Functional resource Job Summary:   This role is for an Oracle Procure-to-Pay techno/functional resource with advanced Oracle Payables (AP) expertise. This individual will need to have advanced familiarity ","Tampa, FL"
52,Business Intelligence Developer (IT),"JOB SUMMARY:   Please note:   You should review this job description, in particular the knowledge, skills, abilities, and other (KSAOs) requirements listed. Please reply to KSAOs one (1) through (6) only. The rest of the KSAOs will be assessed during the ","Arlington, VA"
53,Business Analyst,"Our client is seeking a Business Analyst .   Location: New York, NY Position Type: Contract   Must Have Skills: - BA with Front Office Experience (focus on Equity Research is preferred) Project Management Exposure (Manage several stakeholders & milestones","New York, NY"
54,Java/J2EE Developer (Big Data / Hadoop),"Trigyn's direct financial client has an immediate opening for Java/J2EE Developer in Montreal, Canada.Description:The consultant will be required to have strong hands on experience on Core Java and exposure to BigData technology. The consultant will be al","Montreal, QC"
55,"Java Developer, AngularJS, NodeJS","Looking for a sharp Software Engineer with interest in a direct hire opportunity with a growing technology company. Responsibilities will include: Full SDLC including analysis, design and development and installation of solutions Technical skills: 5+ year","Newport Beach, CA"
56,Senior Accounting/Audit Specialist/MSA,"TAD PGS INC. is currently seeking a Senior Accounting/Audit Specialist/MSA for one of our clients in Reston, VA.**Candidate must possess Active Top Secret/SCI Security Clearance with Full-Scope Polygraph Cleared.**Job Overview:Auditable Financial Statemen","Reston, VA"
57,Business Systems Analyst II,"TAD PGS, INC. is currently seeking a Business Analyst II for one of our clients in Washington, DC **Candidate must possess have the ability to obtain and maintain an SEC Public Trust.** Company Description: Our client designs, develops, and sustains offer","Virginia Beach, VA"
58,Senior Data Scientist,"TAD PGS, INC. is currently seeking a Senior Data Scientist for one of our clients in Columbia, MD. Job Overview: The Senior Data Scientist will work both with the Chief Data Scientist and across business teams to leverage broad foundation of technology an","Columbia, MD"
59,Sr. Software Engineer IaaS Hybrid IT,"Would you have the passion for leading a team developing next generation microservices leading to an Infrastructure-as-a-Service solution that encompasses multiple operating systems, private/public cloud providers and various relational databases. You wil","New York City, NY"
60,"Relationship Manager / Account Manager, mortgage planning expertise","Full-time opportunity for a Relationship Manager with mortgage planning expertise. Looking for someone with vendor management, project coordination or account management experience. IT experience is a huge plus, but definitely need someone that has mortga","Irvine, CA"
61,"Human Resources Generalist - outlook, excel, customer service",Job Description: Description:Our client is looking for a Talent Acquisition Coordinator to join their team. Our coordinators are the fuel that keeps our recruiting engine running. We want to ensure that every candidate that walks in feels the excitement w,"Pleasanton, CA"
62,Data Scientist,"Our client, one of the largest financial services firms, is seeking a Data Scientist .   Location : Long Island City, NY Position Type: Contract   - We are searching for a certain kind of person who is excited by the idea of owning; people who like to bui","Long Island City, NY"
63,Building Technician III (TS/SCI),"TAD PGS, INC. is currently seeking a Building Technician III for one of our clients in Annapolis Junction, MD**TS/SCI Clearance is required Shift: 10:30pm – 9:00am Saturday night – Wednesday morning. Job Description:Perform preventative maintenance, troub","Annapolis Junction, MD"
64,Business Systems Analyst,"Job Description:   * Work closely with clients and internal teams to elicit, analyze and document functional requirements * Conduct design review meetings with system architects and product development team to discuss and document technical approaches to ","Needham, MA"
65,Recruiting Sourcer (Cyber),"TAD PGS, INC. is currently seeking a Recruiting Sourcer for one of our clients in Laurel, MD. **This is a National Security Position that requires U.S Citizenship.** Company Description: Founded in 1942 to aid a country at war, our client provides solutio","Laurel, MD"
66,Assembly Technician II (1st Shift),"TAD PGS, INC. is currently seeking an Assembly Technician II (1st Shift) for one of our clients in Mason, OH. Company Description: Go Beyond. It’s more than a phrase. It’s the way our client lives and the way they work, the way they are seen by our custom","Mason, OH"
67,GUI Developer,"Job Profile (GUI Developer) Design, build, and support elegant UI solutions that meet scalability and performance requirements Candidates will work on Web GUI (Java Environment) Experience working in an agile environment Experience in front end technologi","Washington, DC"
68,Change and Release Management Associate,"JOB DESCRIPTION Business:   Global Funds Services (GFS) Position: Change & Release Management Associate Responsibilities - Within the Change and Release Management team, there is a need for a change and release management associate. This is a hands-on rol","Tampa, FL"
69,ServiceNow Developer/ PM,We have an exciting opportunity for a ServiceNow Developer to join our client's talented IT Services team. The successful candidate will have fluency in ServiceNow development principles that enables them to work with external development partners and key,"Vienna, VA"
70,Sr. Systems Engineer,"Senior Systems Engineer Our client is looking for a talented Senior Systems Engineer to join their federal services team at US CBP in Springfield, VA. They have an existing VMware infrastructure that they are migrating to CloudForms and require an experie","Springfield, VA"
71,Customer Service Representative Senior,"Our client, the leading international insurance organization, is seeking a Customer Service Representative. Location:  Oakdale, MN Position Type: Contract Job Description: -Independently handle simple and complex customer service telephone calls as well a","Oakdale, MN"
72,"System Security Engineer (Information Assurance, Anti-Tamper) in NJ","System Security Engineer (Information Assurance, Anti-Tamper) in Clifton, NJPosition: System Security Engineer (Information Assurance, Anti-Tamper)Junior to Mid-Level candidates will be consideredIndustry Experience: Must have experience in Defense Indust","Clifton, NJ"
73,"Project Manager - Pm, PMP, SAP, Project Online, Ariba","Job Description: Our client is looking for a PMP certified project manager in Phoenix, AZ Bachelors in Computer Science or Information Systems. Experience managing application projects, SAP experience is plus. Availability starting in January, expect a mi","Phoenix, AZ"
74,Software Team Lead - Microsoft Technologies,"Our products are designed using the latest Microsoft tools and technologies including Knockout, Bootleg, Jagular, MVC and long proven C# .Net.  You will be responsible for delivery of high quality technical solutions in a timely manner working with other ","Philadelphia, PA"
75,Lead QA - Automation SME - Local to San Francisco CA only,*This Position is applicable for Local to California Candidates only* What you will be doing?QE expert who can help driving beauty box overall testing plan. The current project overall QE lead runs into some issues so we are looking for alternatives.The p,"San Francisco, CA"
76,"DBA - Oracle, Unix, RAC ,11GR2,","Job Description: Our stable, family oriented client located in the North Valley is looking for a Database Administrator to join their family! They are one of the Valley's most stable organizations with a focus on quality and a great work environment.This ","Phoenix, AZ"
77,"Developer - Oracle, Peoplesoft Financials and HR, MS SQL Server",Job Description: SMCI is looking for a Senior Peoplesoft Developer for one of our Clients.Requirements: Five (5) years' experience with PeopleSoft development experience is required with demonstrated successful experience with as many of the following as ,"Scottsdale, AZ"
78,ETL Developer,"Our client, one of the largest banks in the US with wealth management, investment banking, and international business, is seeking an ETL Developer .   Location: Charlotte, NC or NJ Position Type: Contract   - 5+ years of hands-on experience in design and ","Charlotte, NC"
79,Quality Inspector,"TAD PGS, INC. is currently seeking a Quality Inspector for one of our clients in Orlando, FL. **This is a National Security Position requiring U.S. Citizenship** **Candidate must have the ability to obtain and maintain a Security Clearance.** Company Desc","Orlando, FL"
80,Senior Python Developer,"We are seeking an experienced Back-End Developer to work closely with our engineering team to translate their creations into elegant, fast, responsive websites and web applications. The ideal candidate is an individual who thrives on new challenges, posse","Sunnyvale, CA"
81,Senior Financial Reporting Analyst,"Our client, a provider of integrated technology, services, data and analytics solutions to the mortgage and real estate industries, is seeking a Senior Financial Reporting Analyst .   Location: Jacksonville , FL Position Type: Full Time   Description: - T","Jacksonville, FL"
82,Electrical Engineer II,"TAD PGS, INC. is currently seeking an Electrical Engineer II for one of our clients in Broken Arrow, OK. **Candidate must possess an Active Secret Security Clearance.** Company Description: Go Beyond. It’s more than a phrase. It’s the way our client lives","Broken Arrow, OK"
83,Application Programmer V Specialist,"Our client, one of the largest banks in the US with wealth management, investment banking, and international business, is seeking an Application Programmer.Location:  New York, NY Position Type: Contract Description: -Very strong java programming skills -","New York, NY"
84,Cloud Infrastructure Developer (Python),"Trigyn's direct financial client has an immediate opening for Cloud Infrastructure Developer in Montreal, Canada.Description:The client is looking for someone who can help to develop or integrate the next generation of management tools for the Cloud platf","Montreal, QC"
85,Business Analyst (IIBA certification),"Trigyn's direct government client has a contract assignment for Business Analyst who can work onsite in Seattle, WA.Description:The business analyst will be required to review existing business requirements, including current state, future state models, u","Seattle, WA"
86,Software Development Engineer,"Princeton Information is seeking a Software Development Engineer for a Major Financial Client in Long Island City, NY- At Client, we believe in using the power of modern engineering technologies and practices to improve people's lives. Increasingly, with ","Long Island City, NY"
87,PCIe Design with SpyGlass,"PCIe Design with SpyGlassLocation: Hillsboro, ORAvailability: Need someone can join in one week                                          “US Citizens and all other parties authorized to work in the US are encouraged to apply”                              ","Hillsboro, OR"
88,Entry Level Business Systems Analyst,"Genesis10's G10 Associates Program is seeking qualified Business Systems Analysts to join our Twin Cities, MN Team! Program Summary:   As a wave of baby boomer retirement looms on the near horizon, more companies are recognizing a serious need to develop ","Saint Paul, MN"
89,LabView Software Programmer,"TAD PGS, INC. is currently seeking a LabView Software Programmer for one of our clients in Jacksonville, FL. Company Description:A Forward thinking Fortune 500 company is building the world by providing capital, expertise and infrastructure for a global e","Jacksonville, FL"
90,SAP FICO with Revenue Recognition (12+ years exp)," SAP FICO with Revenue Recognition (12 Years Experience)Location : Los Angeles, CADuration : One Year+Please send resume at nitin@cystemslogic.comThank You,NitinPh: 323-908-0990|| Fax: 408-834-7260Email: nitin@cystemslogic.comwww.cystemslogic.comCystems L","Los Angeles, CA"
91,Enterprise Domain Architect - Supply Chain,"Position: Enterprise Domain Architect - Supply ChainLocation: Foster City, CAType: Contract on W2 onlyRole and ResponsibilitiesAs a member of Enterprise Architecture team, the individual will be responsible for developing domain architecture definition an","Foster City, CA"
92,Data Scientist,"Our client is seeking a Data Scientist.   Location : Bethesda, MD Position Type: Full Time   - Deep understanding of database theory and practice – how do you build a fast database. - Experience with large datasets and big data technologies ( hadoop , map","Bethesda, MD"
93,Jr level IT Business Analyst,"Our client is seeking a Jr level IT Business Analyst .   Location: Pittsburgh , PA Position Type: Contract   Description: - We are looking for a Jr level IT Business Analyst with 1 -3 years of total industry experience for a data center migration project ","New York, NY"
94,Full stack Software Engineer,"As a Full Stack Software Engineer, you will contribute to the architecture design, development and end to end deployment in a high performance cloud environment. Your duties will cover a large array of tasks from designing next generation cloud services t","San Jose, CA"
95,Software Specialist VI,"TAD PGS, INC. is currently seeking a Software Specialist VI for one of our clients in Huntsville, AL. **Candidate must have the ability to obtain and maintain Secret Security Clearance.** Company Description: Our client designs, develops, and sustains off","Huntsville, AL"
96,Splunk Admin,"Our client is seeking a Splunk Admin.   Location: Lake Success, NY Position Type: Full Time   Our Team: - The Operations Intelligence team at the company aspires to empower business and engineering teams within the organization to make timely, informed de","Lake Success, NY"
97,SDET QA Automation Engineer - Local to Columbus Ohio only,"*This Position is applicable for Local to Columbus Ohio Candidates only**This is a Fulltime DirectHire Position, at this point of time, Client is not sponsoring Visa* What you will be doing?As a SDET, these are few of the important job duties you will be ","Columbus, OH"
98,VM Ware Consultant - VCP Certified,"Our client is seeking a VM Ware Consultant – VCP Certified. Location:  Havertown, PA Position Type: Full Time Description: -Must have VCP cert -2 yrs. of Professional Exp -Windows, Citrix or Cisco ok -Preferred exp with MDM, Airwatch ","Havertown, PA"
99,IT Project Manager - Reservation Systems,"Overview The Project Manager will be in charge of overseeing multiple projects within the TravelClick Reservations platform. This includes, but is not limited to, project planning, estimating, execution, implementation, and ongoing support, based on an Ag","Orlando, FL"
100,Senior Java Server Side/Front End Developer,"Client is looking for a senior Java developer to join the front office reference data technology team. Reference data is a key shared service and is used extensively by rates, credit, securitized products and other businesses, with a large set of requirem","New York, NY"
101,Test Technician,"TAD PGS, INC. is currently seeking a Test Technician for one of our clients in Evendale, OH. Company Description: A Forward thinking Fortune 500 company is building the world by providing capital, expertise and infrastructure for a global economy. They ha","Cincinnati, OH"
102,"Project Manager - CSP, Scrum Master, Certification, Coaching,.NET","Job Description: Our client is looking for a Project Manager (Scrum Master Sr.) in Phoenix, AZ Experience Certified Scrum Professional (CSP) designation for a minimum of 1 year. Candidates may also possess a Certified Enterprise Coach (CEC) designation fo","Phoenix, AZ"
103,Software Developer,"ESSENTIAL FUNCTIONS:   "" Partner with employees and vendor partner consultants from different locations in the development and delivery of various software applications and enterprise services; e.g. Specialty, Home Delivery, Patient Systems, Claims, Corpo","Paramus, NJ"
104,Solutions Architect,"Our client, the leading loan servicing provider, is seeking a Solutions Architect .   Location: Ewing, NJ or Lower Makefield , PA Position Type: Full Time   Essential Functions: - The Solution Architect will identify and execute on strategies that enhance","Ewing, NJ"
105,Network / System Engineer,"Genesis10 is looking for a Network Engineer for a long term contract position in Lenexa, KS with our Fortune25 financial services industry client. Only W2 candidates will be considered. Summary:   Our client's Architecture & Engineering Core Networking te","Lenexa, KS"
106,Support Engineer - Cloud Computing,"Take your career to the next level with eXcell. We offer jobs with Fortune 1000 companies nationwide, AND invest in your career development through our generous, annual training contribution. Looking to join an exciting organization that is at the forefro","Irving, TX"
107,IT Dev | Database | Level 2,Role and Responsibilities:   The candidate will form part of a global team delivering functionality for the Financial Data Warehouse (FDW). The Financial Data Warehouse currently provides a sub ledger view of Brokerage's Sales and Trading activity and is ,"Montreal, QC"
108,Java Developer (Content Management),"Java Developer (Enterprise Content Management)JOB SUMMARYThe Software Developer is responsible for coding, testing and debugging new software or making enhancement to existing software. The Software Developer performs maintenance on existing moderately co","Emeryville, CA"
109,Database Engineer,"Database Engineer - Oracle Description Database Engineer needed in the New York, NY office. This position will support the planning and migration of database from Client's Data Center to Amazon Web Services (public cloud). Duration is approximately 6 mont","New York, NY"
110,QA Test Automation Engineer,"Verys, recognized as one of Orange County's fastest growing software development firms, has an immediate need for a Software QA Test Automation Engineer in our Irvine office.  This role will work on an Agile Scrum team to test and deliver new web and mobi","Irvine, CA"
111,Java Developer,"Software Guidance & Assistance, Inc., (SGA), is searching for a Java Developer for a right to hire assignment with one of our premier clients in Wilmington, DE. Required Skills : Expert Level Java, Strong understanding of fundamental web/internet technolo","Wilmington, DE"
112,Pharmacy Tech (PD) - Walnut Creek Campus,"Job Summary: Pharmacy Technicians assist pharmacists in preparing and distributing medications, maintaining the drug inventory, and maintaining patient records. Pharmacy technicians work only under the supervision of a registered pharmacist and do not per","Walnut Creek, CA"
113,Lead Cloud Engineer,"Gunther Douglas’ global client is seeking a Lead Cloud Engineer for a direct hire or 3 month contract-to-hire opportunity located in Foster City, CA. The ideal candidate will have in-depth understanding coupled with experience in leading a team to build h","Foster City, CA"
114,Testing Sr. Analyst,"PwC/LOS Overview PwC is a network of firms committed to delivering quality in assurance, tax and advisory services. We help resolve complex issues for our clients and identify opportunities. Learn more about us at www.pwc.com/us. At PwC, we develop leader","Columbia, SC"
115,"Big Data Solution Architect - Boston, MA or Minnetonka, MN","We are looking for a dynamic individual to join our team of Solution Architects in Optum Data Management in Minnetonka, MN. The Solution Architect will play a critical role in defining the future state data management capability (Data Fabric) being built ","Boston, MA"
116,"OKTA IDAM Consultant in Chicago, IL","Greetings, We have an urgent requirement of IDM OKTA Consultant with our direct client in Chicago, IL for a long term contract project. ***** Please share your updated resume in MS Word format along with contact details at manoj.kumar@first-tek.com ******","Chicago, IL"
117,Access & Identity Management (AIM) Analyst,"Overview:   The Access & Identity Management (AIM) Access Analyst is responsible for interfacing with First Republic Project Management, engineering, business unit and vendor staff to ensure applications are onboarding and de-boarded in accordance with Ba","San Francisco, CA"
118,"Software Engineer, Hadoop",We may be the mostimportant Internet company you've never heard of. Join our team for your chanceto work in the digital marketing space and solve meaningful problems on amassive scale--and have fun doing it.The Hadoop Engineering Team at Conversant Media ,"Chicago, IL"
119,OMS (Sterling OMS) Architect/Consultant,"OMS (Sterling OMS) Architect/Consultant San Diego, CA Sterling Architect (Technical) …•             Minimum 10 years of total experience in IT industry.•             Should have played the role of architect for the last 2 years in Sterling OMS implementat","San Diego, CA"
120,Business Systems Analyst,"Our client, a major retirement fund organization is looking to hire a full time Business Systems Analyst for their Health Enrollments teamBusiness Systems Analyst Qualifications * Bachelor's degree or equivalent years of work experience required * Minimum","New York, NY"
121,Respiratory Therapist - Walnut Creek Campus (Per Diem),"JOB OVERVIEW  A Registered Respiratory Therapist is an individual who has been registered by the National board for Respiratory Care, Inc., after successfully completing all education, experience, and examination requirements.  (Source:  Joint Commission ","Walnut Creek, CA"
122,"Solution Architect - Eden Prairie, MN","We are looking for a dynamic individual to join our team of Solution Architects in Optum Data Management in Eden Prairie, MN. The Director of Solution Architecture will play a critical role in defining the implementation Solution for projects related to D","Eden Prairie, MN"
123,"Big Data Applications Technical Product Owner - Minnetonka, MN","At Optum, we create hundreds of custom applications and manage thousands of hardware components.  Together, we deliver smarter, faster and simpler solutions for a modern, innovative health system. We are also the career home to those who bring compassion ","Minnetonka, MN"
124,Sr Web Developer - Test and Measurement,"JOIN US AS A SR. WEB ANALYTICS DEVELOPER Similar Industry Titles and Key Words: Web Analytics Specialist, BIAT Consultant The Sr. Web Analytics Developer will be responsible for implementing tracking for mobile, apps, and desktop digital properties. Other","Minneapolis, MN"
125,MQ Middleware Support,"Software Guidance & Assistance, Inc., (SGA), is searching for an MQ Middleware Support Consultant for a contract assignment with one of our premier financial clients in Raleigh, NC. Responsibilities: Participate as an active member of the worldwide Middle","Research Triangle Park, NC"
126,ENTERPRISE SYSTEMS ENGINEER,ENTERPRISE SYSTEMS ENGINEEROur client is seeking a talented and experienced Systems Frameworks Engineer to join the ITS Systems Operations group. This role will specifically be involved in the following activities:Deployment of application packages utiliz,"Seattle, WA"
127,QA Automation Engineer,"QA Automation Engineer Glendale, CA Contract Opportunity Job Duties * 50% Functional Testing, 50% Automation Testing (where there is an opportunity) * 5+ years of experience as a QA engineer with automation experience * Must work in Agile teams for 2+ yea","Glendale, CA"
